"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 27 10:45:13 BRT 2021","Tue Apr 27 10:45:14 BRT 2021","1055","","Login site DEMO_SAUCELABS","","","","Efetuar login no site saucelabs demo",""
"passed","Tue Apr 27 10:45:04 BRT 2021","Tue Apr 27 10:45:07 BRT 2021","3151","","Efetuar compra no site DEMO_SAUCELABS","","","","Efetuar compra no site saucelabs demo",""
